1992e58 Package the app for Docker and document setup
 .env.example          |  18 +++++++
 Gemfile                                         |  76 +++
 Gemfile.lock                                    | 585 ++++++++++++++++++++++++
 Procfile.dev                                    |   2 +
 Rakefile                                        |   6 +
 app/assets/builds/.keep                         |   0
 app/assets/images/.keep                         |   0
 app/assets/stylesheets/application.css          |  10 +
 app/assets/tailwind/application.css             |  47 ++
 app/channels/application_cable/connection.rb    |  16 +
 app/controllers/application_controller.rb       |  20 +
 app/helpers/application_helper.rb               |  13 +
 app/javascript/application.js                   |   3 +
 app/javascript/controllers/application.js       |   9 +
 app/javascript/controllers/index.js             |   4 +
 app/jobs/application_job.rb                     |   7 +
 app/mailers/application_mailer.rb               |   4 +
 app/models/application_record.rb                |   3 +
 app/views/layouts/mailer.html.erb               |  13 +
 app/views/layouts/mailer.text.erb               |   1 +
 app/views/pwa/manifest.json.erb                 |  22 +
 app/views/pwa/service-worker.js                 |  26 ++
 bin/brakeman                                    |   7 +
 bin/bundler-audit                               |   6 +
 bin/ci                                          |   6 +
 bin/dev                                         |  16 +
 bin/importmap                                   |   4 +
 bin/jobs                                        |   6 +
 bin/rails                                       |   4 +
 bin/rake                                        |   4 +
 bin/rubocop                                     |   8 +
 bin/thrust                                      |   5 +
 config.ru                                       |   6 +
 config/application.rb                           |  41 ++
 config/boot.rb                                  |   4 +
 config/bundler-audit.yml                        |   5 +
 config/cable.yml                                |  17 +
 config/cache.yml                                |  16 +
 config/database.yml                             |  46 ++
 config/environment.rb                           |   5 +
 config/environments/development.rb              |  75 +++
 config/environments/production.rb               |  88 ++++
 config/environments/test.rb                     |  50 ++
 config/importmap.rb                             |   7 +
 config/initializers/assets.rb                   |   7 +
 config/initializers/content_security_policy.rb  |  29 ++
 config/initializers/filter_parameter_logging.rb |   8 +
 config/initializers/inflections.rb              |  16 +
 config/locales/en.yml                           |  31 ++
 config/puma.rb                                  |  42 ++
 config/queue.yml                                |  18 +
 config/recurring.yml                            |  15 +
 config/routes.rb                                |   5 +
 log/.keep                                       |   0
 public/400.html                                 | 135 ++++++
 public/404.html                                 | 135 ++++++
 public/406-unsupported-browser.html             | 135 ++++++
 public/422.html                                 | 135 ++++++
 public/500.html                                 | 135 ++++++
 public/icon.png                                 | Bin 0 -> 4166 bytes
 public/icon.svg                                 |   3 +
 public/robots.txt                               |   1 +
 script/.keep                                    |   0
 storage/.keep                                   |   0
 tmp/.keep                                       |   0
 tmp/pids/.keep                                  |   0
 tmp/storage/.keep                               |   0
 vendor/.keep                                    |   0
 vendor/javascript/.keep                         |   0
 75 files changed, 2388 insertions(+)
