96061fa Add RubyLLM-powered chat app on Rails 8 with Hotwire streaming
 .dockerignore                                      |  47 ++
 app/views/models/index.html.erb                    |  40 ++
 app/views/models/show.html.erb                     |  27 +
 app/views/pwa/manifest.json.erb                    |  22 +
 app/views/pwa/service-worker.js                    |  26 +
 bin/brakeman                                       |   7 +
 bin/bundler-audit                                  |   6 +
 bin/ci                                             |   6 +
 bin/dev                                            |  16 +
 bin/docker-entrypoint                              |   8 +
 bin/importmap                                      |   4 +
 bin/jobs                                           |   6 +
 bin/rails                                          |   4 +
 bin/rake                                           |   4 +
 bin/rubocop                                        |   8 +
 bin/setup                                          |  35 ++
 bin/thrust                                         |   5 +
 config.ru                                          |   6 +
 config/application.rb                              |  27 +
 config/boot.rb                                     |   4 +
 config/bundler-audit.yml                           |   5 +
 config/cable.yml                                   |  17 +
 config/cache.yml                                   |  16 +
 config/ci.rb                                       |  24 +
 config/credentials.yml.enc                         |   1 +
 config/database.yml                                |  44 ++
 config/environment.rb                              |   5 +
 config/environments/development.rb                 |  78 +++
 config/environments/production.rb                  |  92 ++++
 config/environments/test.rb                        |  57 ++
 config/importmap.rb                                |   7 +
 config/initializers/assets.rb                      |   7 +
 config/initializers/content_security_policy.rb     |  29 +
 config/initializers/filter_parameter_logging.rb    |   8 +
 config/initializers/inflections.rb                 |  16 +
 config/initializers/ruby_llm.rb                    |   9 +
 config/locales/en.yml                              |  31 ++
 config/puma.rb                                     |  42 ++
 config/queue.yml                                   |  18 +
 config/recurring.yml                               |  15 +
 config/routes.rb                                   |  25 +
 config/storage.yml                                 |  27 +
 db/cable_schema.rb                                 |  11 +
 db/cache_schema.rb                                 |  12 +
 db/migrate/20260907210726_create_conversations.rb  |   7 +
 db/migrate/20260907210727_create_messages.rb       |  19 +
 db/migrate/20260907210728_create_tool_calls.rb     |  16 +
 db/migrate/20260907210729_create_models.rb         |  25 +
 ...ces_to_conversations_tool_calls_and_messages.rb |   9 +
 db/queue_schema.rb                                 | 160 ++++++
 db/schema.rb                                       |  81 +++
 db/seeds.rb                                        |  13 +
 docker-compose.yml                                 |  29 +
 lib/tasks/.keep                                    |   0
 log/.keep                                          |   0
 public/400.html                                    | 135 +++++
 public/404.html                                    | 135 +++++
 public/406-unsupported-browser.html                | 135 +++++
 public/422.html                                    | 135 +++++
 public/500.html                                    | 135 +++++
 public/icon.png                                    | Bin 0 -> 4166 bytes
 public/icon.svg                                    |   3 +
 public/robots.txt                                  |   1 +
 script/.keep                                       |   0
 storage/.keep                                      |   0
 test/application_system_test_case.rb               |  27 +
 test/controllers/.keep                             |   0
 test/controllers/conversations_controller_test.rb  |  74 +++
 test/controllers/messages_controller_test.rb       |  38 ++
 test/controllers/models_controller_test.rb         |  18 +
 test/fixtures/files/.keep                          |   0
 test/fixtures/models.yml                           |  27 +
 test/helpers/.keep                                 |   0
 test/integration/.keep                             |   0
 test/jobs/conversation_response_job_test.rb        |  41 ++
 test/mailers/.keep                                 |   0
 test/models/.keep                                  |   0
 test/models/conversation_test.rb                   |  34 ++
 test/models/message_test.rb                        |  40 ++
 test/support/openrouter_stubs.rb                   |  32 ++
 test/system/conversations_test.rb                  |  68 +++
 test/test_helper.rb                                |  27 +
 tmp/.keep                                          |   0
 tmp/pids/.keep                                     |   0
 tmp/storage/.keep                                  |   0
 vendor/.keep                                       |   0
 vendor/javascript/.keep                            |   0
 148 files changed, 3993 insertions(+)
